phase,episode,file_id,replay_buffer_valid,total_reward,atom_survived,num_steps
train,170,2025-04-10_2448_Feedback_Run_NN_0.h5,1,11.563569068908691,0,22
train,171,2025-04-10_2449_Feedback_Run_NN_0.h5,1,424.3197937011719,1,100
train,172,2025-04-10_2450_Feedback_Run_NN_0.h5,1,6.735795021057129,0,24
train,173,2025-04-10_2451_Feedback_Run_NN_0.h5,1,8.043312072753906,0,16
train,174,2025-04-10_2452_Feedback_Run_NN_0.h5,1,7.921042442321777,0,16
train,175,2025-04-10_2453_Feedback_Run_NN_0.h5,1,130.0824432373047,0,93
train,176,2025-04-10_2454_Feedback_Run_NN_0.h5,1,212.67686462402344,1,100
train,177,2025-04-10_2456_Feedback_Run_NN_0.h5,1,173.98175048828125,1,100
train,178,2025-04-10_2457_Feedback_Run_NN_0.h5,1,10.132195472717285,0,49
train,179,2025-04-10_2461_Feedback_Run_NN_0.h5,1,427.67010498046875,1,100
train,180,2025-04-10_2462_Feedback_Run_NN_0.h5,1,343.233642578125,1,100
train,181,2025-04-10_2463_Feedback_Run_NN_0.h5,1,142.19082641601562,0,97
train,182,2025-04-10_2464_Feedback_Run_NN_0.h5,1,184.99810791015625,0,100
train,183,2025-04-10_2467_Feedback_Run_NN_0.h5,1,200.61363220214844,1,100
train,184,2025-04-10_2472_Feedback_Run_NN_0.h5,1,362.6800842285156,1,100
train,185,2025-04-10_2474_Feedback_Run_NN_0.h5,1,8.443852424621582,0,17
train,186,2025-04-10_2476_Feedback_Run_NN_0.h5,1,14.099061012268066,0,35
train,187,2025-04-10_2479_Feedback_Run_NN_0.h5,1,295.5358581542969,1,100
train,188,2025-04-10_2481_Feedback_Run_NN_0.h5,1,405.5503845214844,1,100
train,189,2025-04-10_2483_Feedback_Run_NN_0.h5,1,199.01060485839844,1,100
train,190,2025-04-10_2486_Feedback_Run_NN_0.h5,1,7.814489364624023,0,16
train,191,2025-04-10_2491_Feedback_Run_NN_0.h5,1,222.5602569580078,1,100
train,192,2025-04-10_2493_Feedback_Run_NN_0.h5,1,7.373537063598633,0,21
train,193,2025-04-10_2496_Feedback_Run_NN_0.h5,1,159.61351013183594,1,100
train,194,2025-04-10_2497_Feedback_Run_NN_0.h5,1,7.947551727294922,0,16
train,195,2025-04-10_2498_Feedback_Run_NN_0.h5,1,405.6850280761719,1,100
train,196,2025-04-10_2499_Feedback_Run_NN_0.h5,1,-3.397946834564209,0,51
train,197,2025-04-10_2501_Feedback_Run_NN_0.h5,1,20.849870681762695,0,54
train,198,2025-04-10_2502_Feedback_Run_NN_0.h5,1,6.001392841339111,0,43
train,199,2025-04-10_2508_Feedback_Run_NN_0.h5,1,7.913109302520752,0,16
train,200,2025-04-10_2509_Feedback_Run_NN_0.h5,1,238.09840393066406,1,100
train,201,2025-04-10_2513_Feedback_Run_NN_0.h5,1,-5.492388725280762,0,100
train,202,2025-04-10_2515_Feedback_Run_NN_0.h5,1,205.68663024902344,1,100
train,203,2025-04-10_2517_Feedback_Run_NN_0.h5,1,74.5418930053711,0,93
train,204,2025-04-10_2519_Feedback_Run_NN_0.h5,1,6.00747013092041,1,100
train,205,2025-04-10_2520_Feedback_Run_NN_0.h5,1,173.45431518554688,0,72
train,206,2025-04-10_2521_Feedback_Run_NN_0.h5,1,7.922972679138184,0,16
train,207,2025-04-10_2524_Feedback_Run_NN_0.h5,1,233.86032104492188,1,100
train,208,2025-04-10_2526_Feedback_Run_NN_0.h5,1,194.5477294921875,1,100
train,209,2025-04-10_2527_Feedback_Run_NN_0.h5,1,8.394807815551758,0,17
train,210,2025-04-10_2532_Feedback_Run_NN_0.h5,1,228.42041015625,0,100
train,211,2025-04-10_2534_Feedback_Run_NN_0.h5,1,7.9351911544799805,0,16
train,212,2025-04-10_2535_Feedback_Run_NN_0.h5,1,8.987889289855957,0,21
train,213,2025-04-10_2536_Feedback_Run_NN_0.h5,1,164.60806274414062,0,86
train,214,2025-04-10_2537_Feedback_Run_NN_0.h5,1,295.492919921875,1,100
train,215,2025-04-10_2542_Feedback_Run_NN_0.h5,1,148.76182556152344,1,100
train,216,2025-04-10_2545_Feedback_Run_NN_0.h5,1,111.85917663574219,1,100
train,217,2025-04-10_2546_Feedback_Run_NN_0.h5,1,8.388206481933594,0,21
train,218,2025-04-10_2547_Feedback_Run_NN_0.h5,1,270.24884033203125,1,100
train,219,2025-04-10_2548_Feedback_Run_NN_0.h5,1,167.65008544921875,0,89
train,220,2025-04-10_2553_Feedback_Run_NN_0.h5,1,266.79730224609375,1,100
train,221,2025-04-10_2555_Feedback_Run_NN_0.h5,1,249.9906463623047,1,100
train,222,2025-04-10_2556_Feedback_Run_NN_0.h5,1,173.7199249267578,0,100
train,223,2025-04-10_2560_Feedback_Run_NN_0.h5,1,332.79815673828125,1,100
train,224,2025-04-10_2564_Feedback_Run_NN_0.h5,1,385.6618957519531,1,100
train,225,2025-04-10_2566_Feedback_Run_NN_0.h5,1,145.18971252441406,1,100
train,226,2025-04-10_2570_Feedback_Run_NN_0.h5,1,206.6519775390625,1,100
train,227,2025-04-10_2582_Feedback_Run_NN_0.h5,1,310.7929992675781,1,100
train,228,2025-04-10_2583_Feedback_Run_NN_0.h5,1,229.7660675048828,1,100
train,229,2025-04-10_2584_Feedback_Run_NN_0.h5,1,162.5084686279297,1,100
train,230,2025-04-10_2585_Feedback_Run_NN_0.h5,1,10.279855728149414,0,20
train,231,2025-04-10_2587_Feedback_Run_NN_0.h5,1,284.3019714355469,1,100
train,232,2025-04-10_2589_Feedback_Run_NN_0.h5,1,298.5636901855469,1,100
train,233,2025-04-10_2592_Feedback_Run_NN_0.h5,1,258.8843688964844,1,100
train,234,2025-04-10_2596_Feedback_Run_NN_0.h5,1,339.2459411621094,1,100
train,235,2025-04-10_2597_Feedback_Run_NN_0.h5,1,10.443023681640625,0,23
train,236,2025-04-10_2599_Feedback_Run_NN_0.h5,1,198.88392639160156,1,100
train,237,2025-04-10_2602_Feedback_Run_NN_0.h5,1,74.59376525878906,0,80
train,238,2025-04-10_2607_Feedback_Run_NN_0.h5,1,7.922518253326416,0,16
train,239,2025-04-10_2613_Feedback_Run_NN_0.h5,1,272.806884765625,1,100
train,240,2025-04-10_2614_Feedback_Run_NN_0.h5,1,388.8423156738281,1,100
train,241,2025-04-10_2615_Feedback_Run_NN_0.h5,1,101.49276733398438,0,53
train,242,2025-04-10_2622_Feedback_Run_NN_0.h5,1,236.76220703125,0,98
train,243,2025-04-10_2623_Feedback_Run_NN_0.h5,1,298.1796569824219,1,100
train,244,2025-04-10_2626_Feedback_Run_NN_0.h5,1,235.6122283935547,1,100
train,245,2025-04-10_2633_Feedback_Run_NN_0.h5,1,300.9934387207031,1,100
train,246,2025-04-10_2636_Feedback_Run_NN_0.h5,1,330.072265625,1,100
train,247,2025-04-10_2638_Feedback_Run_NN_0.h5,1,261.01495361328125,1,100
train,248,2025-04-10_2639_Feedback_Run_NN_0.h5,1,130.43115234375,0,81
train,249,2025-04-10_2640_Feedback_Run_NN_0.h5,1,333.26727294921875,1,100
train,250,2025-04-10_2641_Feedback_Run_NN_0.h5,1,278.3351745605469,1,100
train,251,2025-04-10_2642_Feedback_Run_NN_0.h5,1,431.865478515625,1,100
train,252,2025-04-10_2645_Feedback_Run_NN_0.h5,1,327.96539306640625,1,100
train,253,2025-04-10_2646_Feedback_Run_NN_0.h5,1,104.78870391845703,1,100
train,254,2025-04-10_2649_Feedback_Run_NN_0.h5,1,204.2354278564453,1,100
train,255,2025-04-10_2650_Feedback_Run_NN_0.h5,1,69.10981750488281,0,48
train,256,2025-04-10_2651_Feedback_Run_NN_0.h5,1,339.5523376464844,1,100
train,257,2025-04-10_2652_Feedback_Run_NN_0.h5,1,463.015869140625,1,100
train,258,2025-04-10_2653_Feedback_Run_NN_0.h5,1,259.1287536621094,1,100
train,259,2025-04-10_2655_Feedback_Run_NN_0.h5,1,393.8871765136719,1,100
train,260,2025-04-10_2658_Feedback_Run_NN_0.h5,1,112.1222152709961,0,70
train,261,2025-04-10_2660_Feedback_Run_NN_0.h5,1,222.83303833007812,1,100
train,262,2025-04-10_2661_Feedback_Run_NN_0.h5,1,265.00457763671875,1,100
train,263,2025-04-10_2662_Feedback_Run_NN_0.h5,1,509.3717956542969,1,100
train,264,2025-04-10_2665_Feedback_Run_NN_0.h5,1,155.05723571777344,0,82
train,265,2025-04-10_2671_Feedback_Run_NN_0.h5,1,294.2217712402344,1,100
train,266,2025-04-10_2672_Feedback_Run_NN_0.h5,1,266.7857971191406,1,100
train,267,2025-04-10_2676_Feedback_Run_NN_0.h5,1,295.1943359375,1,100
train,268,2025-04-10_2677_Feedback_Run_NN_0.h5,1,286.8234558105469,1,100
train,269,2025-04-10_2681_Feedback_Run_NN_0.h5,1,20.037160873413086,0,41
