N,E_z,E_z_uK,Transmission
3.0,6.376134783941999e-27,461.8215624638846,0.6094419856250191
3.0,6.612287924087999e-27,478.92606477736183,0.6239251155689576
3.0,6.848441064233998e-27,496.030567090839,0.6366348875579484
3.0,7.08459420438e-27,513.1350694043164,0.6485941943873261
3.0,7.320747344525999e-27,530.2395717177935,0.6606090495522566
3.0,7.556900484671999e-27,547.3440740312707,0.6721717551954082
3.0,7.793053624817998e-27,564.448576344748,0.6830877280841677
3.0,8.029206764963998e-27,581.5530786582251,0.6933741843807814
3.0,8.26535990511e-27,598.6575809717024,0.7030779605500419
3.0,8.501513045255999e-27,615.7620832851795,0.7122345179103654
3.0,8.737666185401999e-27,632.8665855986568,0.7208858833108948
3.0,8.973819325547998e-27,649.971087912134,0.7291052159425461
3.0,9.209972465693998e-27,667.0755902256111,0.7374841081198723
3.0,9.446125605839999e-27,684.1800925390884,0.7460516834670858
3.0,9.682278745985999e-27,701.2845948525655,0.7530879589736175
3.0,9.918431886131999e-27,718.3890971660427,0.7596641133783733
3.0,1.0154585026277998e-26,735.49359947952,0.7674497149214093
3.0,1.0390738166423998e-26,752.5981017929971,0.7736866751251835
3.0,1.0626891306569998e-26,769.7026041064743,0.7797867357522698
3.0,1.0863044446715999e-26,786.8071064199517,0.786438001935261
3.0,1.1099197586861998e-26,803.9116087334288,0.7920963655057579
3.0,1.1335350727007998e-26,821.016111046906,0.7980660353728223
3.0,1.1571503867153998e-26,838.1206133603832,0.8042954822988088
3.0,1.1807657007299998e-26,855.2251156738604,0.8087505560691438
3.0,1.2043810147445999e-26,872.3296179873377,0.8144986911832646
3.0,1.2279963287591998e-26,889.4341203008149,0.820050619645439
3.0,1.2516116427737998e-26,906.5386226142921,0.8253481617420427
3.0,1.2752269567883998e-26,923.6431249277692,0.8298964661070687
3.0,1.298842270803e-26,940.7476272412466,0.8342602528938969
3.0,1.3224575848175997e-26,957.8521295547237,0.8388543197039199
3.0,1.3460728988321998e-26,974.9566318682009,0.8435183202979956
