E_y,E_z,E_y_uK,E_z_uK,Transmission
0.0,1.93216205574e-26,0.0,1399.4592801935898,0.9402314562975542
0.0,1.9750989903119997e-26,0.0,1430.5583753090027,0.9460990831804228
0.0,2.0180359248839997e-26,0.0,1461.657470424416,0.9516841694102581
0.0,2.0609728594559997e-26,0.0,1492.7565655398291,0.9578304698876627
0.0,2.1039097940279998e-26,0.0,1523.8556606552422,0.9628819106281965
0.0,2.1468467285999998e-26,0.0,1554.9547557706553,0.9684880932443191
2.9817315674999997e-27,0.0,215.96593830147992,0.0,0.1992664673401427
2.9817315674999997e-27,4.2936934571999995e-28,215.96593830147992,31.099095115413107,0.21715193273898759
2.9817315674999997e-27,8.587386914399999e-28,215.96593830147992,62.198190230826214,0.23757083606245943
2.9817315674999997e-27,1.2881080371599998e-27,215.96593830147992,93.29728534623932,0.2607508703599923
2.9817315674999997e-27,1.7174773828799998e-27,215.96593830147992,124.39638046165243,0.28683895833035017
2.9817315674999997e-27,2.1468467285999996e-27,215.96593830147992,155.49547557706555,0.31571356462808114
2.9817315674999997e-27,2.5762160743199997e-27,215.96593830147992,186.59457069247864,0.3465496259229421
2.9817315674999997e-27,3.0055854200399998e-27,215.96593830147992,217.69366580789176,0.3800734881888455
2.9817315674999997e-27,3.4349547657599996e-27,215.96593830147992,248.79276092330485,0.4140598919757495
2.9817315674999997e-27,3.864324111479999e-27,215.96593830147992,279.89185603871795,0.44952673208363964
2.9817315674999997e-27,4.293693457199999e-27,215.96593830147992,310.9909511541311,0.48441371651585863
2.9817315674999997e-27,4.7230628029199996e-27,215.96593830147992,342.0900462695442,0.5180283635434042
2.9817315674999997e-27,5.1524321486399994e-27,215.96593830147992,373.1891413849573,0.5500636276842107
2.9817315674999997e-27,5.581801494359999e-27,215.96593830147992,404.2882365003704,0.5796909083751771
2.9817315674999997e-27,6.0111708400799996e-27,215.96593830147992,435.3873316157835,0.6066786379107837
2.9817315674999997e-27,6.4405401857999994e-27,215.96593830147992,466.4864267311966,0.6330400950780992
2.9817315674999997e-27,6.869909531519999e-27,215.96593830147992,497.5855218466097,0.6551589314563545
2.9817315674999997e-27,7.29927887724e-27,215.96593830147992,528.6846169620229,0.6768709254957741
2.9817315674999997e-27,7.728648222959999e-27,215.96593830147992,559.7837120774359,0.6964146461099194
2.9817315674999997e-27,8.158017568679999e-27,215.96593830147992,590.8828071928491,0.713981962407337
2.9817315674999997e-27,8.587386914399998e-27,215.96593830147992,621.9819023082622,0.7298624143341149
2.9817315674999997e-27,9.016756260119999e-27,215.96593830147992,653.0809974236753,0.7441475313975184
2.9817315674999997e-27,9.446125605839999e-27,215.96593830147992,684.1800925390884,0.7577697988068439
2.9817315674999997e-27,9.875494951559998e-27,215.96593830147992,715.2791876545014,0.7706909463403057
2.9817315674999997e-27,1.0304864297279999e-26,215.96593830147992,746.3782827699146,0.7829994263826622
2.9817315674999997e-27,1.0734233642999999e-26,215.96593830147992,777.4773778853277,0.79339531397584
2.9817315674999997e-27,1.1163602988719998e-26,215.96593830147992,808.5764730007407,0.8036828039120076
2.9817315674999997e-27,1.1592972334439999e-26,215.96593830147992,839.675568116154,0.8141373208448285
2.9817315674999997e-27,1.2022341680159999e-26,215.96593830147992,870.774663231567,0.823516810672883
2.9817315674999997e-27,1.2451711025879998e-26,215.96593830147992,901.8737583469801,0.8317836520114531
2.9817315674999997e-27,1.2881080371599999e-26,215.96593830147992,932.9728534623932,0.8408762236574732
2.9817315674999997e-27,1.3310449717319998e-26,215.96593830147992,964.0719485778063,0.849309300381991
2.9817315674999997e-27,1.3739819063039998e-26,215.96593830147992,995.1710436932194,0.8570235484946455
2.9817315674999997e-27,1.416918840876e-26,215.96593830147992,1026.2701388086327,0.8646635332877424
2.9817315674999997e-27,1.459855775448e-26,215.96593830147992,1057.3692339240458,0.8716120168111214
2.9817315674999997e-27,1.5027927100199997e-26,215.96593830147992,1088.4683290394587,0.8782369727920295
2.9817315674999997e-27,1.5457296445919997e-26,215.96593830147992,1119.5674241548718,0.8854277867899109
2.9817315674999997e-27,1.5886665791639998e-26,215.96593830147992,1150.666519270285,0.8922969070117757
2.9817315674999997e-27,1.6316035137359998e-26,215.96593830147992,1181.7656143856982,0.898777440660056
2.9817315674999997e-27,1.674540448308e-26,215.96593830147992,1212.8647095011113,0.904899723830891
2.9817315674999997e-27,1.7174773828799996e-26,215.96593830147992,1243.9638046165244,0.9117113562647399
2.9817315674999997e-27,1.7604143174519997e-26,215.96593830147992,1275.0628997319375,0.917167457275193
2.9817315674999997e-27,1.8033512520239997e-26,215.96593830147992,1306.1619948473506,0.9233047719131285
2.9817315674999997e-27,1.8462881865959998e-26,215.96593830147992,1337.2610899627634,0.9291267962773802
2.9817315674999997e-27,1.8892251211679998e-26,215.96593830147992,1368.3601850781768,0.9355689518461391
